species_B;species_A;rep
DA_B1;DA_A2;4
DA_B1;DA_A3;3
DA_B1;a16;4-7-11
DA_B1;a4;3-7
DA_B1;a5;3-4
DA_B1;a7;3-4
DA_B1-DA_B2;DA_A1;16
DA_B1-DA_B2;DA_A4;16
DA_B1-DA_B2;a1;16
DA_B1-DA_B2;a16;16
DA_B1-DA_B2;a4;16
DA_B10;a16;9
DA_B13;a15;24
DA_B13;a16;24
DA_B13;a4;24
DA_B2;DA_A2;4
DA_B2;a16;4
DA_B2;a4;4
DA_B2-DA_B3;DA_A2;23
DA_B2-DA_B3;a16;17-23
DA_B2-DA_B3;a4;17
DA_B2-DA_B3;a7;23
DA_B2-DA_B3-DA_B4;DA_A2;14
DA_B2-DA_B3-DA_B4;a16;14
DA_B2-DA_B3-DA_B4;a4;14
DA_B8;DA_A2;15
DA_B8;a16;15
DA_B8;a4;15
DA_B8;a7;15
b1-b2-b3-b7-b8-b9-b10-b11-b12-b13-b14-b15-b16-b17-b18-b19-b20-b21-b22-b23;DA_A1;23
b1-b2-b3-b7-b8-b9-b10-b11-b12-b13-b14-b15-b16-b17-b18-b19-b20-b21-b22-b23;DA_A2;4-8-14-15-23
b1-b2-b3-b7-b8-b9-b10-b11-b12-b13-b14-b15-b16-b17-b18-b19-b20-b21-b22-b23;DA_A3;3-19
b1-b2-b3-b7-b8-b9-b10-b11-b12-b13-b14-b15-b16-b17-b18-b19-b20-b21-b22-b23;DA_A6;7
b1-b2-b3-b7-b8-b9-b10-b11-b12-b13-b14-b15-b16-b17-b18-b19-b20-b21-b22-b23;a12;3-19-25
b1-b2-b3-b7-b8-b9-b10-b11-b12-b13-b14-b15-b16-b17-b18-b19-b20-b21-b22-b23;a15;2-3-5-8-12-13-16-17-23-24-25
b1-b2-b3-b7-b8-b9-b10-b11-b12-b13-b14-b15-b16-b17-b18-b19-b20-b21-b22-b23;a16;1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25
b1-b2-b3-b7-b8-b9-b10-b11-b12-b13-b14-b15-b16-b17-b18-b19-b20-b21-b22-b23;a2;3-7-22-25
b1-b2-b3-b7-b8-b9-b10-b11-b12-b13-b14-b15-b16-b17-b18-b19-b20-b21-b22-b23;a4;2-3-5-6-8-10-11-12-13-14-15-16-17-19-22-23-24-25
b1-b2-b3-b7-b8-b9-b10-b11-b12-b13-b14-b15-b16-b17-b18-b19-b20-b21-b22-b23;a5;2-7-12-17-25
b1-b2-b3-b7-b8-b9-b10-b11-b12-b13-b14-b15-b16-b17-b18-b19-b20-b21-b22-b23;a6;3
b1-b2-b3-b7-b8-b9-b10-b11-b12-b13-b14-b15-b16-b17-b18-b19-b20-b21-b22-b23;a7;3-7-8-12-17-22-23-25
b24-b25-b26-b27-b28-b29-b30-b31-b32-b33-b34;DA_A2;8-14-15-23
b24-b25-b26-b27-b28-b29-b30-b31-b32-b33-b34;DA_A3;3
b24-b25-b26-b27-b28-b29-b30-b31-b32-b33-b34;a1;2-3-17
b24-b25-b26-b27-b28-b29-b30-b31-b32-b33-b34;a12;3-5-8-18-24
b24-b25-b26-b27-b28-b29-b30-b31-b32-b33-b34;a15;3-5-8-16-18-24
b24-b25-b26-b27-b28-b29-b30-b31-b32-b33-b34;a16;1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25
b24-b25-b26-b27-b28-b29-b30-b31-b32-b33-b34;a2;24
b24-b25-b26-b27-b28-b29-b30-b31-b32-b33-b34;a3;3
b24-b25-b26-b27-b28-b29-b30-b31-b32-b33-b34;a4;1-2-3-5-6-8-10-11-12-14-15-16
b24-b25-b26-b27-b28-b29-b30-b31-b32-b33-b34;a5;3
b24-b25-b26-b27-b28-b29-b30-b31-b32-b33-b34;a6;3
b24-b25-b26-b27-b28-b29-b30-b31-b32-b33-b34;a7;22-23
b24-b25-b26-b27-b28-b29-b30-b31-b32-b33-b34;a8;3
b4;DA_A1;3-23
b4;DA_A2;8-14-15-23
b4;DA_A3;3
b4;DA_A6;7
b4;a1;3
b4;a12;3-7-10-24
b4;a15;2-3-5-8-12-13-17-23
b4;a16;1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-23-25
b4;a2;3-7-18-24
b4;a4;2-3-5-6-8-10-11-12-13-14-15-16-17-19-21-23-25
b4;a5;2-7-17-25
b4;a6;3
b4;a7;2-3-8-12-15-17-22-23-25
b4;a8;3
b5-b6;DA_A1;20-23
b5-b6;DA_A2;4-8-14-15-23-25
b5-b6;DA_A4;24
b5-b6;a12;5-22
b5-b6;a15;2-8-22
b5-b6;a16;1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25
b5-b6;a2;5-22
b5-b6;a4;1-2-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25
b5-b6;a7;8-22
