species_B;species_A;rep
DA_B1;DA_A2;4
DA_B1;DA_A3;3
DA_B1;a1;11
DA_B1;a15;3-6
DA_B1;a16;4-6-7-11
DA_B1;a4;3-6-7
DA_B1;a5;3-4
DA_B1;a6;11
DA_B1;a7;3-4
DA_B1;a8;11
DA_B1-DA_B2;DA_A1;16
DA_B1-DA_B2;DA_A4;16
DA_B1-DA_B2;a1;16
DA_B1-DA_B2;a15;16
DA_B1-DA_B2;a16;16
DA_B1-DA_B2;a4;16
DA_B1-DA_B2;a6;16
DA_B10;a1;2
DA_B10;a15;2-9-16
DA_B10;a16;2-9-16
DA_B10;a4;2-9-16
DA_B10;a5;2-16
DA_B10;a7;2-16
DA_B10-DA_B11;a12;24
DA_B10-DA_B11;a16;24
DA_B10-DA_B11;a2;24
DA_B2;DA_A2;4
DA_B2;a15;19
DA_B2;a16;4-11-19
DA_B2;a4;4-11
DA_B2-DA_B3;a1;17
DA_B2-DA_B3;a16;17
DA_B2-DA_B3;a4;17-23
DA_B2-DA_B3;a6;17
DA_B2-DA_B3-DA_B4;a16;14
DA_B2-DA_B3-DA_B4;a4;14
DA_B3;a16;20-21
DA_B3;a4;21
DA_B3-DA_B4;a12;24
DA_B3-DA_B4;a15;16-24
DA_B3-DA_B4;a16;16-24
DA_B3-DA_B4;a4;16
DA_B4;DA_A1;18
DA_B4;DA_A3;18
DA_B4;DA_A4;21
DA_B4;a1;22
DA_B4;a11;18
DA_B4;a12;18-21
DA_B4;a14;18
DA_B4;a15;18-21
DA_B4;a16;18-21-22
DA_B4;a2;18
DA_B4;a3;22
DA_B4;a4;18-21
DA_B4;a5;21
DA_B4;a6;18-22
DA_B4;a7;21
DA_B4;a8;22
DA_B8;DA_A2;15
DA_B8;a16;15
DA_B8-DA_B9;DA_A2;8
DA_B8-DA_B9;DA_A5;8
DA_B8-DA_B9;a16;8
DA_B8-DA_B9;a4;8
DA_B8-DA_B9;a7;8
DA_B9;a15;11
DA_B9;a16;11
DA_B9;a4;11
b1-b2-b3;DA_A1;23
b1-b2-b3;DA_A2;4-8-14-15-17-23
b1-b2-b3;DA_A3;3-18-19
b1-b2-b3;DA_A5;8
b1-b2-b3;DA_A6;7
b1-b2-b3;DA_A7;7
b1-b2-b3;a1;1
b1-b2-b3;a11;4-13
b1-b2-b3;a12;5-12-13-19-20-21-22
b1-b2-b3;a15;2-5-9-11-12-13-16-17-19
b1-b2-b3;a16;1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-25
b1-b2-b3;a2;21-22-23-25
b1-b2-b3;a3;1
b1-b2-b3;a4;2-3-4-5-6-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25
b1-b2-b3;a5;5-7-12-17-19-22-25
b1-b2-b3;a6;3-14
b1-b2-b3;a7;7-8-10-12-15-17-19-22-23-25
b1-b2-b3;a8;1
b24-b26-b27-b28-b29-b30-b32-b33-b34;DA_A1;3-18-20
b24-b26-b27-b28-b29-b30-b32-b33-b34;DA_A2;8-10-13-15-23
b24-b26-b27-b28-b29-b30-b32-b33-b34;DA_A3;3-18
b24-b26-b27-b28-b29-b30-b32-b33-b34;DA_A4;21
b24-b26-b27-b28-b29-b30-b32-b33-b34;a1;2-3-9-13-17-18-19-22
b24-b26-b27-b28-b29-b30-b32-b33-b34;a11;18
b24-b26-b27-b28-b29-b30-b32-b33-b34;a12;2-3-5-7-8-18
b24-b26-b27-b28-b29-b30-b32-b33-b34;a15;3-5-18-19-21
b24-b26-b27-b28-b29-b30-b32-b33-b34;a16;1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25
b24-b26-b27-b28-b29-b30-b32-b33-b34;a2;2-18-23
b24-b26-b27-b28-b29-b30-b32-b33-b34;a3;3-17-18
b24-b26-b27-b28-b29-b30-b32-b33-b34;a4;2-3-8-9-16-23
b24-b26-b27-b28-b29-b30-b32-b33-b34;a5;3-19-21-23
b24-b26-b27-b28-b29-b30-b32-b33-b34;a6;3-13-15-18-20
b24-b26-b27-b28-b29-b30-b32-b33-b34;a7;18-19-23
b24-b26-b27-b28-b29-b30-b32-b33-b34;a8;3-13-15-17-18
b25;DA_A1;18-20
b25;DA_A2;8-10-13-15-23-25
b25;DA_A3;18
b25;DA_A4;21
b25;a1;2-3-9-13-17-22
b25;a11;18
b25;a12;5-7-8-10-18-21-24
b25;a14;18
b25;a15;3-5-10-16-18-19-21-24
