species_B;species_A;rep
b1-b2-b3-b4-b7-b8-b9-b10-b11-b12-b13-b14-b15-b16-b17-b18-b19-b20-b21-b22-b23-b24-b25-b26-b27-b28-b29-b30-b31-b32-b33-b34;DA_A2;4-14-15-23
b1-b2-b3-b4-b7-b8-b9-b10-b11-b12-b13-b14-b15-b16-b17-b18-b19-b20-b21-b22-b23-b24-b25-b26-b27-b28-b29-b30-b31-b32-b33-b34;DA_A4;24
b1-b2-b3-b4-b7-b8-b9-b10-b11-b12-b13-b14-b15-b16-b17-b18-b19-b20-b21-b22-b23-b24-b25-b26-b27-b28-b29-b30-b31-b32-b33-b34;a16;1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25
b1-b2-b3-b4-b7-b8-b9-b10-b11-b12-b13-b14-b15-b16-b17-b18-b19-b20-b21-b22-b23-b24-b25-b26-b27-b28-b29-b30-b31-b32-b33-b34;a4;1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25
b5-b6;DA_A2;4-15-23
b5-b6;DA_A3;19
b5-b6;DA_A4;24
b5-b6;a16;1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25
b5-b6;a4;1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25
