species_B;species_A;rep
DA_B1;DA_A2;4
DA_B1;DA_A3;3
DA_B1;a15;3-6
DA_B1;a16;4-6-7
DA_B1;a4;3-6-7
DA_B1;a5;3-4
DA_B1;a7;3-4
DA_B1-DA_B2;DA_A1;16
DA_B1-DA_B2;DA_A4;16
DA_B1-DA_B2;a1;16
DA_B1-DA_B2;a15;16
DA_B1-DA_B2;a16;16
DA_B1-DA_B2;a4;16
DA_B1-DA_B2;a6;16
DA_B10;DA_A2;4-15
DA_B10;a11;4
DA_B10;a12;4-13
DA_B10;a15;4-9-13-16
DA_B10;a16;4-9-13-15-16
DA_B10;a4;4-9-16
DA_B10;a5;16
DA_B10;a6;15
DA_B10;a7;4-15-16
DA_B10-DA_B11;a12;24
DA_B10-DA_B11;a16;24
DA_B10-DA_B11;a2;24
DA_B11;a15;9
DA_B11;a16;9
DA_B11;a4;9
DA_B13;DA_A1;23
DA_B13;DA_A2;23
DA_B13;a16;23
DA_B13;a4;23
DA_B2;DA_A2;4-15
DA_B2;a12;19
DA_B2;a15;19
DA_B2;a16;4-14-15-19
DA_B2;a4;4-14-15-23
DA_B2;a7;19
DA_B2-DA_B3;DA_A3;17
DA_B2-DA_B3;a1;17
DA_B2-DA_B3;a16;17
DA_B2-DA_B3;a4;17
DA_B2-DA_B3;a6;17
DA_B2-DA_B3;a8;17
DA_B3;a16;20
DA_B3;a4;23
DA_B3-DA_B4;a15;16-24
DA_B3-DA_B4;a16;14-16-24
DA_B3-DA_B4;a4;14-16
DA_B4;DA_A1;18
DA_B4;DA_A3;18
DA_B4;DA_A4;21
DA_B4;a1;22
DA_B4;a11;18
DA_B4;a12;18-21
DA_B4;a14;18
DA_B4;a15;21
DA_B4;a16;18-21-22
DA_B4;a2;18
DA_B4;a3;22
DA_B4;a4;18-21
DA_B4;a5;21
DA_B4;a6;18-22
DA_B4;a7;21
DA_B4;a8;22
DA_B5;a16;25
DA_B5;a4;25
DA_B5;a5;25
DA_B5;a7;25
DA_B6-DA_B7;DA_A4;24
DA_B6-DA_B7;a4;24
DA_B8;DA_A2;15
DA_B8;DA_A3;18
DA_B8;a16;15-18
DA_B8;a4;18
DA_B8-DA_B9;DA_A2;8
DA_B8-DA_B9;DA_A3-DA_A4;8
DA_B8-DA_B9;DA_A5;8
DA_B8-DA_B9;a1;4
DA_B8-DA_B9;a12;8
DA_B8-DA_B9;a15;4-8
DA_B8-DA_B9;a16;4-8
DA_B8-DA_B9;a4;8
DA_B8-DA_B9;a5;4-8
DA_B8-DA_B9;a7;4-8
DA_B8-DA_B9;a8;4
DA_B9;a12;11
DA_B9;a15;11
DA_B9;a16;11
DA_B9;a4;11
DA_B9;a7;11
b1-b2-b3;DA_A1;20-23
b1-b2-b3;DA_A2;4-8-14-15-17-23
b1-b2-b3;DA_A3;18-19
b1-b2-b3;DA_A5;8
b1-b2-b3;DA_A6;7
b1-b2-b3;DA_A7;7
b1-b2-b3;a1;1
b1-b2-b3;a11;4
b1-b2-b3;a12;17-19-20-21-22-23
b1-b2-b3;a15;2-9-11-12-13-17-21
b1-b2-b3;a16;1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-25
b1-b2-b3;a2;19-20-21-22-23
b1-b2-b3;a4;1-2-3-4-5-6-8-9-10-11-12-13-14-16-17-18-19-20-21-22-23-24-25
b1-b2-b3;a5;7-17-19-22-25
b1-b2-b3;a6;14-15
b1-b2-b3;a7;4-7-8-10-12-15-17-19-22-23
b1-b2-b3;a8;1
b24-b26-b27-b30-b32-b33-b34;DA_A1;3-18
b24-b26-b27-b30-b32-b33-b34;DA_A2;8-10-13-15-25
b24-b26-b27-b30-b32-b33-b34;DA_A3;18
b24-b26-b27-b30-b32-b33-b34;DA_A4;16-21
b24-b26-b27-b30-b32-b33-b34;DA_A6;7
b24-b26-b27-b30-b32-b33-b34;DA_A7;7
b24-b26-b27-b30-b32-b33-b34;a1;1-2-3-12-13-17-18-21-22-24
b24-b26-b27-b30-b32-b33-b34;a11;18
b24-b26-b27-b30-b32-b33-b34;a12;2-3-7-8-9-13-16-18-21
b24-b26-b27-b30-b32-b33-b34;a15;2-3-8-16-18-21
b24-b26-b27-b30-b32-b33-b34;a16;1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-25
b24-b26-b27-b30-b32-b33-b34;a2;23
b24-b26-b27-b30-b32-b33-b34;a3;1-3-17-18-22
